11/01/21 1:38
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   12675	67398	                   409448	                   459903	                98	
Restants :                 	    7392	36267	                   239623	                   265740	                96	
Segments uniques :         	    7139	54367	                   296009	                   338950	                98	
Segments uniques restants :	    3422	25169	                   137169	                   157403	                96	


Statistiques par fichiers :

Nom du fichier                                                      	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Release/scenario_dlc/DigitalAge/Software Giant.txt                  	            60	               60	               7	                        7	       281	          281	         110	                  110	                           1883	                              1883	                              637	                                       637	                           2056	                              2056	                              732	                                       732	
Release/scenario_dlc/Subsidiary/Industry_Dominance.txt              	            57	               57	              15	                       15	       275	          275	         147	                  147	                           1827	                              1827	                              875	                                       875	                           2001	                              2001	                              990	                                       990	
Release/scenario_dlc/Subsidiary/Strategic_Positioning.txt           	            62	               62	              17	                       17	       373	          373	         198	                  198	                           2264	                              2264	                             1049	                                      1049	                           2532	                              2532	                             1216	                                      1216	
Release/scenario_dlc/Subsidiary/Success_in_IPO.txt                  	            59	               59	              13	                       13	       342	          342	         199	                  199	                           2056	                              2056	                             1027	                                      1027	                           2295	                              2295	                             1201	                                      1201	
Release/scenario_dlc/Subsidiary/Supercharging_ROI.txt               	            58	               58	              14	                       14	       326	          326	         191	                  191	                           2097	                              2097	                             1109	                                      1109	                           2321	                              2321	                             1272	                                      1272	
Release/scenario_dlc/Subsidiary/The_Master_of_Capital.txt           	            60	               60	              15	                       15	       316	          316	         164	                  164	                           2022	                              2022	                              967	                                       967	                           2233	                              2233	                             1101	                                      1101	
Release/script/autosave every 10 days.txt                           	             6	                6	               4	                        4	        28	           28	          25	                   25	                            253	                               253	                              231	                                       231	                            273	                               273	                              250	                                       250	
Release/script/autosave every 15 minutes.txt                        	             6	                6	               3	                        3	        34	           34	          31	                   31	                            281	                               281	                              159	                                       159	                            307	                               307	                              184	                                       184	
Release/script/sample scripts/sample_script_challenge_game.txt      	            11	               11	               7	                        7	        78	           78	          67	                   67	                            446	                               446	                              384	                                       384	                            512	                               512	                              445	                                       445	
Release/script/sample scripts/sample_script_cities.txt              	            31	               31	              20	                       20	       215	          215	         185	                  185	                           1052	                              1052	                              883	                                       883	                           1222	                              1222	                             1042	                                      1042	
Release/script/sample scripts/sample_script_competitors.txt         	            51	               51	              37	                       37	       372	          372	         318	                  318	                           2290	                              2290	                             1951	                                      1951	                           2602	                              2602	                             2235	                                      2235	
Release/script/sample scripts/sample_script_environment.txt         	            50	               50	              39	                       39	       377	          377	         342	                  342	                           1981	                              1981	                             1759	                                      1759	                           2294	                              2294	                             2057	                                      2057	
Release/script/sample scripts/sample_script_goals.txt               	            55	               55	              35	                       35	       348	          348	         307	                  307	                           2052	                              2052	                             1550	                                      1550	                           2321	                              2321	                             1800	                                      1800	
Release/script/sample scripts/sample_script_main_goal.txt           	            72	               72	              46	                       46	       469	          469	         409	                  409	                           3026	                              3026	                             2286	                                      2286	                           3408	                              3408	                             2637	                                      2637	
Release/script/sample scripts/sample_script_player_expertise.txt    	            17	               17	              14	                       14	       133	          133	         101	                  101	                            716	                               716	                              567	                                       567	                            827	                               827	                              648	                                       648	
Release/script/sample scripts/sample_script_products.txt            	            43	               43	              35	                       35	       317	          317	         297	                  297	                           1783	                              1783	                             1655	                                      1655	                           2041	                              2041	                             1905	                                      1905	
Release/script/sample scripts/sample_script_special_rules.txt       	            80	               80	              57	                       57	       671	          671	         647	                  647	                           4197	                              4197	                             3456	                                      3456	                           4788	                              4788	                             4031	                                      4031	
Release/script/senior management salaries 20%.txt                   	             9	                9	               6	                        6	        44	           44	          41	                   41	                            342	                               342	                              220	                                       220	                            373	                               373	                              250	                                       250	
Release/script/senior management salaries 50%.txt                   	             9	                9	               6	                        6	        44	           44	          41	                   41	                            342	                               342	                              220	                                       220	                            372	                               372	                              249	                                       249	
Release/script/tech cost 200%.txt                                   	             6	                6	               3	                        3	        25	           25	          22	                   22	                            262	                               262	                              140	                                       140	                            279	                               279	                              156	                                       156	
Release/script/tech cost 50%.txt                                    	             6	                6	               2	                        2	        25	           25	          18	                   18	                            259	                               259	                              118	                                       118	                            276	                               276	                              132	                                       132	
Release/script/training effect 200%.txt                             	             7	                7	               3	                        3	        42	           42	          35	                   35	                            335	                               335	                              187	                                       187	                            368	                               368	                              217	                                       217	
Release/script/unlimited natural resources.txt                      	             6	                6	               3	                        3	        45	           45	          42	                   42	                            358	                               358	                              236	                                       236	                            393	                               393	                              270	                                       270	
Release/text/guide/EXTERN.txt                                       	             7	                3	               7	                        3	        54	            7	          54	                    7	                            291	                                58	                              291	                                        58	                            338	                                62	                              338	                                        62	
Release/text/guide/FARMCROP.txt                                     	             9	                4	               9	                        4	        62	           10	          62	                   10	                            311	                                55	                              311	                                        55	                            364	                                61	                              364	                                        61	
Release/text/guide/FARMLIVE.txt                                     	             3	                2	               3	                        2	        11	            5	          11	                    5	                             67	                                37	                               67	                                        37	                             75	                                40	                               75	                                        40	
Release/text/guide/FARMPROC.txt                                     	            13	                3	              13	                        3	       167	           10	         167	                   10	                            835	                                77	                              835	                                        77	                            987	                                84	                              987	                                        84	
Release/text/guide/FOREST.txt                                       	            10	                1	              10	                        1	        73	            2	          73	                    2	                            353	                                13	                              353	                                        13	                            416	                                14	                              416	                                        14	
Release/text/guide/INV.txt                                          	             5	                2	               3	                        1	        25	            4	          21	                    2	                            133	                                29	                              106	                                        15	                            153	                                31	                              124	                                        16	
Release/text/guide/LABEL.txt                                        	             7	                7	               7	                        7	       121	          121	         121	                  121	                            633	                               633	                              633	                                       633	                            747	                               747	                              747	                                       747	
Release/text/guide/MFT.txt                                          	            19	                2	              10	                        1	       197	            4	         135	                    2	                            987	                                33	                              692	                                        19	                           1165	                                35	                              817	                                        20	
Release/text/guide/MINE.txt                                         	            10	                0	               1	                        0	        73	            0	           2	                    0	                            352	                                 0	                               12	                                         0	                            415	                                 0	                               13	                                         0	
Release/text/guide/OIL.txt                                          	            10	                1	               1	                        1	        74	            3	           3	                    3	                            359	                                19	                               19	                                        19	                            423	                                21	                               21	                                        21	
Release/text/guide/PROJCODE.txt                                     	             5	                5	               5	                        5	        20	           20	          20	                   20	                            106	                               106	                              106	                                       106	                            121	                               121	                              121	                                       121	
Release/text/guide/PROJECT.txt                                      	            10	               10	               6	                        6	        44	           44	          27	                   27	                            244	                               244	                              162	                                       162	                            278	                               278	                              183	                                       183	
Release/text/guide/PUR.txt                                          	            19	                4	              13	                        3	       207	           10	         161	                    8	                            955	                                66	                              743	                                        52	                           1142	                                72	                              890	                                        57	
Release/text/guide/RADRD.txt                                        	             7	                3	               6	                        3	        31	            9	          29	                    9	                            184	                                67	                              171	                                        67	                            208	                                73	                              194	                                        73	
Release/text/guide/RD.txt                                           	             7	                3	               1	                        1	        31	            9	           5	                    5	                            184	                                67	                               35	                                        35	                            208	                                73	                               39	                                        39	
Release/text/guide/SALE.txt                                         	            17	                4	               6	                        2	       180	            9	          55	                    5	                            846	                                58	                              276	                                        28	                           1008	                                63	                              325	                                        31	
Release/text/guide/TECH.txt                                         	             7	                7	               6	                        6	        30	           30	          29	                   29	                            184	                               184	                              175	                                       175	                            207	                               207	                              198	                                       198	
Release/text/guide/TECHCODE.txt                                     	             7	                7	               2	                        2	        28	           28	          10	                   10	                            166	                               166	                               65	                                        65	                            187	                               187	                               73	                                        73	
Release/text/guide/WAREINV.txt                                      	             5	                2	               3	                        1	        28	            5	          24	                    3	                            150	                                36	                              123	                                        22	                            173	                                39	                              144	                                        24	
Release/text/guide/WAREPUR.TXT                                      	            16	                4	               4	                        1	       168	           11	          39	                    3	                            780	                                70	                              190	                                        20	                            931	                                77	                              225	                                        22	
Release/text/guide/WARESALE.txt                                     	            17	                4	               3	                        1	       180	           10	          24	                    3	                            857	                                68	                              126	                                        21	                           1019	                                74	                              147	                                        23	
Release/text/tips/Game_Speed.txt                                    	            10	                1	               8	                        1	       139	            6	         137	                    6	                            701	                                33	                              697	                                        33	                            830	                                38	                              826	                                        38	
Release/text/tips/List_Box_Browsing_Keys.txt                        	             4	                1	               4	                        1	        83	            7	          83	                    7	                            367	                                38	                              367	                                        38	                            445	                                44	                              445	                                        44	
Release/text/tips/Tips_List.txt                                     	             2	                0	               2	                        0	         8	            0	           8	                    0	                             70	                                 0	                               70	                                         0	                             76	                                 0	                               76	                                         0	
Release/translate/gm_help.txt                                       	           489	              114	             372	                      114	      3124	          367	        3073	                  367	                          16564	                              2040	                            16211	                                      2040	                          19316	                              2294	                            18919	                                      2294	
Release/translate/help.txt                                          	          3756	             1196	            2378	                     1171	     16406	         4009	       15054	                 3804	                          86562	                             21823	                            78462	                                     20832	                         100367	                             24607	                            91128	                                     23434	
Release/translate/t_basic.txt                                       	            16	               16	              16	                       16	        60	           60	          60	                   60	                            338	                               338	                              338	                                       338	                            342	                               342	                              342	                                       342	
Release/translate/t_game.txt                                        	          2264	              252	            2240	                      237	     12293	          889	       12253	                  884	                          74021	                              5676	                            73782	                                      5637	                          81051	                              6060	                            80782	                                      6018	
Release/tutorial/script/tutorial 1.txt                              	           106	              106	              49	                       49	       458	          458	         210	                  210	                           3444	                              3444	                             1349	                                      1349	                           3773	                              3773	                             1489	                                      1489	
Release/tutorial/script/tutorial 2.txt                              	           102	              102	               8	                        8	       443	          443	          61	                   61	                           3348	                              3348	                              328	                                       328	                           3665	                              3665	                              374	                                       374	
Release/tutorial/script/tutorial 3.txt                              	            96	               96	               7	                        7	       446	          446	          85	                   85	                           3317	                              3317	                              456	                                       456	                           3642	                              3642	                              526	                                       526	
Release/tutorial/script/tutorial 4.txt                              	            96	               96	               8	                        8	       456	          456	          99	                   99	                           3332	                              3332	                              524	                                       524	                           3668	                              3668	                              608	                                       608	
Release/tutorial/script/tutorial 5.txt                              	            88	               87	               6	                        6	       427	          425	          88	                   88	                           3090	                              3079	                              436	                                       436	                           3405	                              3393	                              512	                                       512	
Release/tutorial/script/tutorial 6.txt                              	            89	               89	               7	                        7	       469	          469	         121	                  121	                           3323	                              3323	                              623	                                       623	                           3677	                              3677	                              732	                                       732	
Release/tutorial/script/tutorial 7.txt                              	            87	               87	               6	                        6	       434	          434	          97	                   97	                           3166	                              3166	                              514	                                       514	                           3487	                              3487	                              599	                                       599	
Release/tutorial/script/tutorial 8.txt                              	            84	               84	               7	                        7	       455	          455	         123	                  123	                           3280	                              3280	                              645	                                       645	                           3624	                              3624	                              756	                                       756	
Release/tutorial/tut01.txt                                          	           329	              250	             135	                       57	      1673	          495	        1388	                  212	                          11587	                              5919	                             7003	                                      1344	                          12836	                              6093	                             8182	                                      1449	
Release/tutorial/tut02.txt                                          	           391	              294	             135	                       43	      2194	          492	        1820	                  128	                          15351	                              6917	                             9453	                                      1097	                          17052	                              7042	                            11071	                                      1141	
Release/tutorial/tut03.txt                                          	           307	              304	             112	                      112	      1538	         1533	        1216	                 1216	                          11150	                             11102	                             6420	                                      6420	                          12318	                             12270	                             7465	                                      7465	
Release/tutorial/tut04.txt                                          	           412	              409	             121	                      121	      2468	         2462	        1998	                 1998	                          17545	                             17507	                            10638	                                     10638	                          19493	                             19453	                            12433	                                     12433	
Release/tutorial/tut05.txt                                          	           293	              291	              96	                       96	      1893	         1890	        1560	                 1560	                          12275	                             12256	                             7664	                                      7664	                          13792	                             13772	                             9065	                                      9065	
Release/tutorial/tut06.txt                                          	           128	              127	              34	                       34	       567	          565	         423	                  423	                           4253	                              4235	                             2148	                                      2148	                           4661	                              4643	                             2515	                                      2515	
Release/tutorial/tut07.txt                                          	           310	              308	              89	                       89	      1683	         1680	        1335	                 1335	                          12086	                             12067	                             6806	                                      6806	                          13385	                             13365	                             7994	                                      7994	
Release/tutorial/tut08.txt                                          	           141	              141	              37	                       37	       894	          894	         726	                  726	                           6118	                              6118	                             3676	                                      3676	                           6840	                              6840	                             4348	                                      4348	
Release/wallpaper/readme.txt                                        	            15	               15	              15	                       15	       122	          122	         122	                  122	                            693	                               693	                              693	                                       693	                            803	                               803	                              803	                                       803	
